"","GICS_INDUSTRY_GROUP","GICS_INDUSTRY_GROUP_NAME","LONG_COMPANY_NAME_REALTIME","NAME_RT"
"MAR UW Equity",2530,"Consumer Services","Marriott International Inc/MD","MARRIOTT INTERNATIONAL -CL A"
"LM UN Equity",4020,"Diversified Financials","Legg Mason Inc","LEGG MASON INC"
"LRCX UW Equity",4530,"Semiconductors & Semiconductor","Lam Research Corp","LAM RESEARCH CORP"
"LB UN Equity",2550,"Retailing","L Brands Inc","L BRANDS INC"
"LMT UN Equity",2010,"Capital Goods","Lockheed Martin Corp","LOCKHEED MARTIN CORP"
"MAS UN Equity",2010,"Capital Goods","Masco Corp","MASCO CORP"
"MAT UW Equity",2520,"Consumer Durables & Apparel","Mattel Inc","MATTEL INC"
"LUK UN Equity",4020,"Diversified Financials","Leucadia National Corp","LEUCADIA NATIONAL CORP"
"LEG UN Equity",2520,"Consumer Durables & Apparel","Leggett & Platt Inc","LEGGETT & PLATT INC"
"LNC UN Equity",4030,"Insurance","Lincoln National Corp","LINCOLN NATIONAL CORP"
"MCD UN Equity",2530,"Consumer Services","McDonald's Corp","MCDONALD'S CORP"
"LUV UN Equity",2030,"Transportation","Southwest Airlines Co","SOUTHWEST AIRLINES CO"
"LVLT UN Equity",5010,"Telecommunication Services","Level 3 Communications Inc","LEVEL 3 COMMUNICATIONS INC"
"LEN UN Equity",2520,"Consumer Durables & Apparel","Lennar Corp","LENNAR CORP-A"
"MCHP UW Equity",4530,"Semiconductors & Semiconductor","Microchip Technology Inc","MICROCHIP TECHNOLOGY INC"
"LYB UN Equity",1510,"Materials","LyondellBasell Industries NV","LYONDELLBASELL INDU-CL A"
"LOW UN Equity",2550,"Retailing","Lowe's Cos Inc","LOWE'S COS INC"
"MCK UN Equity",3510,"Health Care Equipment & Servic","McKesson Corp","MCKESSON CORP"
"M UN Equity",2550,"Retailing","Macy's Inc","MACY'S INC"
"MA UN Equity",4510,"Software & Services","MasterCard Inc","MASTERCARD INC-CLASS A"
"MDT UN Equity",3510,"Health Care Equipment & Servic","Medtronic PLC","MEDTRONIC PLC"
"MCO UN Equity",4020,"Diversified Financials","Moody's Corp","MOODY'S CORP"
"MDLZ UW Equity",3020,"Food Beverage & Tobacco","Mondelez International Inc","MONDELEZ INTERNATIONAL INC-A"
"MMM UN Equity",2010,"Capital Goods","3M Co","3M CO"
"MNK UN Equity",3520,"Pharmaceuticals, Biotechnology","Mallinckrodt PLC","MALLINCKRODT PLC"
"MET UN Equity",4030,"Insurance","MetLife Inc","METLIFE INC"
"MAC UN Equity",4040,"Real Estate","Macerich Co/The","MACERICH CO/THE"
"NAVI UW Equity",4020,"Diversified Financials","Navient Corp","NAVIENT CORP"
"MRO UN Equity",1010,"Energy","Marathon Oil Corp","MARATHON OIL CORP"
"MNST UW Equity",3020,"Food Beverage & Tobacco","Monster Beverage Corp","MONSTER BEVERAGE CORP"
"MHFI UN Equity",4020,"Diversified Financials","McGraw Hill Financial Inc","MCGRAW HILL FINANCIAL INC"
"MS UN Equity",4020,"Diversified Financials","Morgan Stanley","MORGAN STANLEY"
"NBL UN Equity",1010,"Energy","Noble Energy Inc","NOBLE ENERGY INC"
"MHK UN Equity",2520,"Consumer Durables & Apparel","Mohawk Industries Inc","MOHAWK INDUSTRIES INC"
"NDAQ UW Equity",4020,"Diversified Financials","Nasdaq Inc","NASDAQ INC"
"MJN UN Equity",3020,"Food Beverage & Tobacco","Mead Johnson Nutrition Co","MEAD JOHNSON NUTRITION CO"
"MO UN Equity",3020,"Food Beverage & Tobacco","Altria Group Inc","ALTRIA GROUP INC"
"MKC UN Equity",3020,"Food Beverage & Tobacco","McCormick & Co Inc/MD","MCCORMICK & CO-NON VTG SHRS"
"MON UN Equity",1510,"Materials","Monsanto Co","MONSANTO CO"
"MSFT UW Equity",4510,"Software & Services","Microsoft Corp","MICROSOFT CORP"
"MOS UN Equity",1510,"Materials","Mosaic Co/The","MOSAIC CO/THE"
"MPC UN Equity",1010,"Energy","Marathon Petroleum Corp","MARATHON PETROLEUM CORP"
"NEE UN Equity",5510,"Utilities","NextEra Energy Inc","NEXTERA ENERGY INC"
"MLM UN Equity",1510,"Materials","Martin Marietta Materials Inc","MARTIN MARIETTA MATERIALS"
"MSI UN Equity",4520,"Technology Hardware & Equipmen","Motorola Solutions Inc","MOTOROLA SOLUTIONS INC"
"MRK UN Equity",3520,"Pharmaceuticals, Biotechnology","Merck & Co Inc","MERCK & CO. INC."
"NEM UN Equity",1510,"Materials","Newmont Mining Corp","NEWMONT MINING CORP"
"MTB UN Equity",4010,"Banks","M&T Bank Corp","M & T BANK CORP"
"MU UW Equity",4530,"Semiconductors & Semiconductor","Micron Technology Inc","MICRON TECHNOLOGY INC"
"MMC UN Equity",4030,"Insurance","Marsh & McLennan Cos Inc","MARSH & MCLENNAN COS"
"NFLX UW Equity",2550,"Retailing","Netflix Inc","NETFLIX INC"
"NKE UN Equity",2520,"Consumer Durables & Apparel","NIKE Inc","NIKE INC -CL B"
"NLSN UN Equity",2020,"Commercial & Professional Serv","Nielsen Holdings PLC","NIELSEN HOLDINGS PLC"
"NFX UN Equity",1010,"Energy","Newfield Exploration Co","NEWFIELD EXPLORATION CO"
"MUR UN Equity",1010,"Energy","Murphy Oil Corp","MURPHY OIL CORP"
"NUE UN Equity",1510,"Materials","Nucor Corp","NUCOR CORP"
"MYL UW Equity",3520,"Pharmaceuticals, Biotechnology","Mylan NV","MYLAN NV"
"NVDA UW Equity",4530,"Semiconductors & Semiconductor","NVIDIA Corp","NVIDIA CORP"
"NOC UN Equity",2010,"Capital Goods","Northrop Grumman Corp","NORTHROP GRUMMAN CORP"
"NI UN Equity",5510,"Utilities","NiSource Inc","NISOURCE INC"
"OMC UN Equity",2540,"Media","Omnicom Group Inc","OMNICOM GROUP"
"ORCL UN Equity",4510,"Software & Services","Oracle Corp","ORACLE CORP"
"NOV UN Equity",1010,"Energy","National Oilwell Varco Inc","NATIONAL OILWELL VARCO INC"
"NRG UN Equity",5510,"Utilities","NRG Energy Inc","NRG ENERGY INC"
"NWL UN Equity",2520,"Consumer Durables & Apparel","Newell Rubbermaid Inc","NEWELL RUBBERMAID INC"
"NWS UW Equity",2540,"Media","News Corp","NEWS CORP - CLASS B"
"NWSA UW Equity",2540,"Media","News Corp","NEWS CORP - CLASS A"
"ORLY UW Equity",2550,"Retailing","O'Reilly Automotive Inc","O'REILLY AUTOMOTIVE INC"
"PCG UN Equity",5510,"Utilities","PG&E Corp","P G & E CORP"
"PCLN UW Equity",2550,"Retailing","Priceline Group Inc/The","PRICELINE GROUP INC/THE"
